timestamp,algorithm,start,end,nodes,edges,time_ms
2026-01-21T21:46:22.506953700,BFS,N1,N8,10,13,1
2026-01-21T21:46:28.909447100,DFS,N1,N8,10,13,0
2026-01-21T21:46:30.220490800,DFS,N1,N8,10,13,0
2026-01-21T21:46:30.858351800,BFS,N1,N8,10,13,0
2026-01-21T21:46:31.501816400,DFS,N1,N8,10,13,0
2026-01-21T21:46:32.222963600,BFS,N1,N8,10,13,0
2026-01-21T21:46:39.043657700,DFS,N1,N6,10,13,0
2026-01-21T21:46:40.124870400,BFS,N1,N6,10,13,0
2026-01-21T21:46:41.199007300,DFS,N1,N6,10,13,0
<<<<<<< HEAD
2026-02-02T12:37:39.553754800,DFS,N1,N4,4,0,4
2026-02-02T12:37:41.476977400,BFS,N1,N4,4,0,0
2026-02-02T12:39:02.824605700,BFS,N1,N6,11,12,2
2026-02-02T12:39:04.684114800,DFS,N1,N6,11,12,0
2026-02-02T12:39:10.753420100,DFS,N1,N6,11,12,0
2026-02-02T12:40:10.458546,BFS,N1,N6,9,11,0
=======
2026-02-08T20:52:08.724892,BFS,N1,N6,9,11,3
2026-02-08T20:52:11.903535200,DFS,N1,N6,9,11,22
2026-02-08T20:52:45.370843700,BFS,N1,N6,9,11,0
2026-02-08T20:53:11.371244400,BFS,N1,N6,12,16,0
2026-02-08T20:57:21.138406600,BFS,N1,N12,14,20,1
2026-02-08T20:57:23.142244200,DFS,N1,N12,14,20,13
2026-02-08T20:57:28.734646700,BFS,N1,N12,14,20,0
2026-02-08T20:57:29.908604800,DFS,N1,N12,14,20,8
2026-02-08T20:57:36.892263300,BFS,N1,N12,14,20,0
2026-02-08T20:57:37.940536,DFS,N1,N12,14,20,5
2026-02-08T20:58:00.566989900,BFS,N1,N12,14,20,0
2026-02-08T20:58:01.889666200,DFS,N1,N12,14,20,9
2026-02-08T20:58:16.903428100,BFS,N1,N12,14,20,0
2026-02-08T20:58:17.602322300,DFS,N1,N12,14,20,28
2026-02-08T20:58:47.668143200,BFS,N1,N12,14,20,0
2026-02-08T21:00:39.046603400,BFS,N1,N12,14,20,0
2026-02-08T21:00:40.450879700,DFS,N1,N12,14,20,9
2026-02-08T21:00:41.546025700,BFS,N1,N12,14,20,0
2026-02-08T21:03:08.589460200,DFS,N1,N12,14,20,12
>>>>>>> b12916be80f10efef37a470aded3e96783ca3ff7
2026-02-08T21:14:07.623609500,BFS,N1,N12,14,20,3
2026-02-08T21:14:09.016949100,DFS,N1,N12,14,20,27
2026-02-08T21:14:11.257746,BFS,N1,N12,14,20,0
2026-02-08T21:31:55.124005600,BFS,N1,N12,14,20,3
2026-02-08T21:31:57.182569600,DFS,N1,N12,14,20,71
2026-02-08T21:41:50.220384,BFS,N1,N12,14,20,2
2026-02-08T21:41:52.622760800,DFS,N1,N12,14,20,62
2026-02-08T22:06:00.810221200,BFS,N1,N12,14,20,1
